"","year","week","start","end","cases","period"
"13",2015,"13","2015-03-23","2015-03-29",154,"2015/2016"
"14",2015,"14","2015-03-30","2015-04-05",154,"2015/2016"
"15",2015,"15","2015-04-06","2015-04-12",138,"2015/2016"
"16",2015,"16","2015-04-13","2015-04-19",153,"2015/2016"
"17",2015,"17","2015-04-20","2015-04-26",85,"2015/2016"
"18",2015,"18","2015-04-27","2015-05-03",53,"2015/2016"
"19",2015,"19","2015-05-04","2015-05-10",51,"2015/2016"
"20",2015,"20","2015-05-11","2015-05-17",43,"2015/2016"
"21",2015,"21","2015-05-18","2015-05-24",48,"2015/2016"
"22",2015,"22","2015-05-25","2015-05-31",33,"2015/2016"
"23",2015,"23","2015-06-01","2015-06-07",22,"2015/2016"
"24",2015,"24","2015-06-08","2015-06-14",30,"2015/2016"
"25",2015,"25","2015-06-15","2015-06-21",19,"2015/2016"
"26",2015,"26","2015-06-22","2015-06-28",11,"2015/2016"
"27",2015,"27","2015-06-29","2015-07-05",8,"2015/2016"
"28",2015,"28","2015-07-06","2015-07-12",4,"2015/2016"
"29",2015,"29","2015-07-13","2015-07-19",5,"2015/2016"
"30",2015,"30","2015-07-20","2015-07-26",5,"2015/2016"
"31",2015,"31","2015-07-27","2015-08-02",8,"2015/2016"
"32",2015,"32","2015-08-03","2015-08-09",5,"2015/2016"
"33",2015,"33","2015-08-10","2015-08-16",7,"2015/2016"
"34",2015,"34","2015-08-17","2015-08-23",4,"2015/2016"
"35",2015,"35","2015-08-24","2015-08-30",1,"2015/2016"
"36",2015,"36","2015-08-31","2015-09-06",2,"2015/2016"
"37",2015,"37","2015-09-07","2015-09-13",3,"2015/2016"
"38",2015,"38","2015-09-14","2015-09-20",3,"2015/2016"
"39",2015,"39","2015-09-21","2015-09-27",2,"2015/2016"
"40",2015,"40","2015-09-28","2015-10-04",19,"2015/2016"
"41",2015,"41","2015-10-05","2015-10-11",42,"2015/2016"
"42",2015,"42","2015-10-12","2015-10-18",25,"2015/2016"
"43",2015,"43","2015-10-19","2015-10-25",23,"2015/2016"
"44",2015,"44","2015-10-26","2015-11-01",37,"2015/2016"
"45",2015,"45","2015-11-02","2015-11-08",35,"2015/2016"
"46",2015,"46","2015-11-09","2015-11-15",26,"2015/2016"
