"","year","week","start","end","cases"
"1",2015,1,"29/12/2014","04/01/2015",315
"2",2015,2,"05/01/2015","11/01/2015",387
"3",2015,3,"12/01/2015","18/01/2015",343
"4",2015,4,"19/01/2015","25/01/2015",415
"5",2015,5,"26/01/2015","01/02/2015",442
"6",2015,6,"02/02/2015","08/02/2015",452
"7",2015,7,"09/02/2015","15/02/2015",501
"8",2015,8,"16/02/2015","22/02/2015",468
"9",2015,9,"23/02/2015","01/03/2015",302
"10",2015,10,"02/03/2015","08/03/2015",202
"11",2015,11,"09/03/2015","15/03/2015",203
"12",2015,12,"16/03/2015","22/03/2015",201
"13",2015,13,"23/03/2015","29/03/2015",154
"14",2015,14,"30/03/2015","05/04/2015",154
"15",2015,15,"06/04/2015","12/04/2015",138
"16",2015,16,"13/04/2015","19/04/2015",153
"17",2015,17,"20/04/2015","26/04/2015",85
"18",2015,18,"27/04/2015","03/05/2015",53
"19",2015,19,"04/05/2015","10/05/2015",51
"20",2015,20,"11/05/2015","17/05/2015",43
"21",2015,21,"18/05/2015","24/05/2015",48
"22",2015,22,"25/05/2015","31/05/2015",33
"23",2015,23,"01/06/2015","07/06/2015",22
"24",2015,24,"08/06/2015","14/06/2015",30
"25",2015,25,"15/06/2015","21/06/2015",19
"26",2015,26,"22/06/2015","28/06/2015",11
"27",2015,27,"29/06/2015","05/07/2015",8
"28",2015,28,"06/07/2015","12/07/2015",4
"29",2015,29,"13/07/2015","19/07/2015",5
"30",2015,30,"20/07/2015","26/07/2015",5
"31",2015,31,"27/07/2015","02/08/2015",8
"32",2015,32,"03/08/2015","09/08/2015",5
"33",2015,33,"10/08/2015","16/08/2015",7
"34",2015,34,"17/08/2015","23/08/2015",4
"35",2015,35,"24/08/2015","30/08/2015",1
"36",2015,36,"31/08/2015","06/09/2015",2
"37",2015,37,"07/09/2015","13/09/2015",3
"38",2015,38,"14/09/2015","20/09/2015",3
"39",2015,39,"21/09/2015","27/09/2015",2
"40",2015,40,"28/09/2015","04/10/2015",19
