"","year","week","start","end","cases","period"
"38",2015,"38","14/09/2015","20/09/2015",3,"2015/2016"
"39",2015,"39","21/09/2015","27/09/2015",2,"2015/2016"
"40",2015,"40","28/09/2015","04/10/2015",19,"2015/2016"
"41",2015,"41","05/10/2015","11/10/2015",42,"2015/2016"
"42",2015,"42","12/10/2015","18/10/2015",25,"2015/2016"
"43",2015,"43","19/10/2015","25/10/2015",23,"2015/2016"
"44",2015,"44","26/10/2015","01/11/2015",37,"2015/2016"
"45",2015,"45","02/11/2015","08/11/2015",35,"2015/2016"
"46",2015,"46","09/11/2015","15/11/2015",26,"2015/2016"
"47",2015,"47","16/11/2015","22/11/2015",37,"2015/2016"
"48",2015,"48","23/11/2015","29/11/2015",40,"2015/2016"
"49",2015,"49","30/11/2015","06/12/2015",61,"2015/2016"
"50",2015,"50","07/12/2015","13/12/2015",64,"2015/2016"
"51",2015,"51","14/12/2015","20/12/2015",167,"2015/2016"
"52",2015,"52","21/12/2015","27/12/2015",198,"2015/2016"
"53",2015,"53","28/12/2015","03/01/2016",277,"2015/2016"
"54",2016,"1","04/01/2016","10/01/2016",422,"2015/2016"
"55",2016,"2","11/01/2016","17/01/2016",406,"2015/2016"
"56",2016,"3","18/01/2016","24/01/2016",556,"2015/2016"
"57",2016,"4","25/01/2016","31/01/2016",830,"2015/2016"
"58",2016,"5","01/02/2016","07/02/2016",919,"2015/2016"
"59",2016,"6","08/02/2016","14/02/2016",918,"2015/2016"
"60",2016,"7","15/02/2016","21/02/2016",1058,"2015/2016"
"61",2016,"8","22/02/2016","28/02/2016",1087,"2015/2016"
"62",2016,"9","29/02/2016","06/03/2016",1241,"2015/2016"
"63",2016,"10","07/03/2016","13/03/2016",1292,"2015/2016"
"64",2016,"11","14/03/2016","20/03/2016",1580,"2015/2016"
"65",2016,"12","21/03/2016","27/03/2016",1269,"2015/2016"
"66",2016,"13","28/03/2016","03/04/2016",1167,"2015/2016"
"67",2016,"14","04/04/2016","10/04/2016",818,"2015/2016"
"68",2016,"15","11/04/2016","17/04/2016",609,"2015/2016"
"69",2016,"16","18/04/2016","24/04/2016",376,"2015/2016"
"70",2016,"17","25/04/2016","01/05/2016",295,"2015/2016"
"71",2016,"18","02/05/2016","08/05/2016",280,"2015/2016"
"72",2016,"19","09/05/2016","15/05/2016",199,"2015/2016"
"73",2016,"20","16/05/2016","22/05/2016",120,"2015/2016"
"91",2016,"38","19/09/2016","25/09/2016",3,"2016/2017"
"92",2016,"39","26/09/2016","02/10/2016",9,"2016/2017"
"93",2016,"40","03/10/2016","09/10/2016",27,"2016/2017"
"94",2016,"41","10/10/2016","16/10/2016",15,"2016/2017"
"95",2016,"42","17/10/2016","23/10/2016",25,"2016/2017"
"96",2016,"43","24/10/2016","30/10/2016",17,"2016/2017"
"97",2016,"44","31/10/2016","06/11/2016",39,"2016/2017"
"98",2016,"45","07/11/2016","13/11/2016",39,"2016/2017"
"99",2016,"46","14/11/2016","20/11/2016",79,"2016/2017"
"100",2016,"47","21/11/2016","27/11/2016",72,"2016/2017"
"101",2016,"48","28/11/2016","04/12/2016",138,"2016/2017"
"102",2016,"49","05/12/2016","11/12/2016",284,"2016/2017"
"103",2016,"50","12/12/2016","18/12/2016",447,"2016/2017"
"104",2016,"51","19/12/2016","25/12/2016",735,"2016/2017"
"105",2016,"52","26/12/2016","01/01/2017",921,"2016/2017"
"106",2017,"1","02/01/2017","08/01/2017",1214,"2016/2017"
"107",2017,"2","09/01/2017","15/01/2017",1508,"2016/2017"
"108",2017,"3","16/01/2017","22/01/2017",1214,"2016/2017"
"109",2017,"4","23/01/2017","29/01/2017",1221,"2016/2017"
"110",2017,"5","30/01/2017","05/02/2017",1242,"2016/2017"
"111",2017,"6","06/02/2017","12/02/2017",947,"2016/2017"
"112",2017,"7","13/02/2017","19/02/2017",738,"2016/2017"
"113",2017,"8","20/02/2017","26/02/2017",721,"2016/2017"
"114",2017,"9","27/02/2017","05/03/2017",568,"2016/2017"
"115",2017,"10","06/03/2017","12/03/2017",379,"2016/2017"
"116",2017,"11","13/03/2017","19/03/2017",321,"2016/2017"
"117",2017,"12","20/03/2017","26/03/2017",279,"2016/2017"
"118",2017,"13","27/03/2017","02/04/2017",281,"2016/2017"
"119",2017,"14","03/04/2017","09/04/2017",236,"2016/2017"
"120",2017,"15","10/04/2017","16/04/2017",181,"2016/2017"
"121",2017,"16","17/04/2017","23/04/2017",187,"2016/2017"
"122",2017,"17","24/04/2017","30/04/2017",197,"2016/2017"
"123",2017,"18","01/05/2017","07/05/2017",196,"2016/2017"
"124",2017,"19","08/05/2017","14/05/2017",221,"2016/2017"
"125",2017,"20","15/05/2017","21/05/2017",155,"2016/2017"
"143",2017,"38","18/09/2017","24/09/2017",0,"2017/2018"
"144",2017,"39","25/09/2017","01/10/2017",3,"2017/2018"
"145",2017,"40","02/10/2017","08/10/2017",64,"2017/2018"
"146",2017,"41","09/10/2017","15/10/2017",65,"2017/2018"
"147",2017,"42","16/10/2017","22/10/2017",55,"2017/2018"
"148",2017,"43","23/10/2017","29/10/2017",38,"2017/2018"
"149",2017,"44","30/10/2017","05/11/2017",50,"2017/2018"
"150",2017,"45","06/11/2017","12/11/2017",83,"2017/2018"
"151",2017,"46","13/11/2017","19/11/2017",133,"2017/2018"
"152",2017,"47","20/11/2017","26/11/2017",203,"2017/2018"
"153",2017,"48","27/11/2017","03/12/2017",240,"2017/2018"
"154",2017,"49","04/12/2017","10/12/2017",499,"2017/2018"
"155",2017,"50","11/12/2017","17/12/2017",953,"2017/2018"
"156",2017,"51","18/12/2017","24/12/2017",2210,"2017/2018"
"157",2017,"52","25/12/2017","31/12/2017",2776,"2017/2018"
"158",2018,"1","01/01/2018","07/01/2018",3858,"2017/2018"
"159",2018,"2","08/01/2018","14/01/2018",4107,"2017/2018"
"160",2018,"3","15/01/2018","21/01/2018",3792,"2017/2018"
"161",2018,"4","22/01/2018","28/01/2018",3607,"2017/2018"
"162",2018,"5","29/01/2018","04/02/2018",3169,"2017/2018"
"163",2018,"6","05/02/2018","11/02/2018",2663,"2017/2018"
"164",2018,"7","12/02/2018","18/02/2018",2810,"2017/2018"
"165",2018,"8","19/02/2018","25/02/2018",3344,"2017/2018"
"166",2018,"9","26/02/2018","04/03/2018",2384,"2017/2018"
"167",2018,"10","05/03/2018","11/03/2018",2637,"2017/2018"
"168",2018,"11","12/03/2018","18/03/2018",2154,"2017/2018"
"169",2018,"12","19/03/2018","25/03/2018",1725,"2017/2018"
"170",2018,"13","26/03/2018","01/04/2018",1321,"2017/2018"
"171",2018,"14","02/04/2018","08/04/2018",1135,"2017/2018"
"172",2018,"15","09/04/2018","15/04/2018",809,"2017/2018"
"173",2018,"16","16/04/2018","22/04/2018",402,"2017/2018"
"174",2018,"17","23/04/2018","29/04/2018",170,"2017/2018"
"175",2018,"18","30/04/2018","06/05/2018",101,"2017/2018"
"176",2018,"19","07/05/2018","13/05/2018",86,"2017/2018"
"177",2018,"20","14/05/2018","20/05/2018",64,"2017/2018"
"195",2018,"38","17/09/2018","23/09/2018",6,"2018/2019"
"196",2018,"39","24/09/2018","30/09/2018",2,"2018/2019"
"197",2018,"40","01/10/2018","07/10/2018",29,"2018/2019"
"198",2018,"41","08/10/2018","14/10/2018",24,"2018/2019"
"199",2018,"42","15/10/2018","21/10/2018",40,"2018/2019"
"200",2018,"43","22/10/2018","28/10/2018",63,"2018/2019"
"201",2018,"44","29/10/2018","04/11/2018",95,"2018/2019"
"202",2018,"45","05/11/2018","11/11/2018",122,"2018/2019"
"203",2018,"46","12/11/2018","18/11/2018",137,"2018/2019"
"204",2018,"47","19/11/2018","25/11/2018",138,"2018/2019"
"205",2018,"48","26/11/2018","02/12/2018",243,"2018/2019"
"206",2018,"49","03/12/2018","09/12/2018",302,"2018/2019"
"207",2018,"50","10/12/2018","16/12/2018",403,"2018/2019"
"208",2018,"51","17/12/2018","23/12/2018",846,"2018/2019"
"209",2018,"52","24/12/2018","30/12/2018",1254,"2018/2019"
"210",2019,"1","31/12/2018","06/01/2019",1987,"2018/2019"
"211",2019,"2","07/01/2019","13/01/2019",2782,"2018/2019"
"212",2019,"3","14/01/2019","20/01/2019",2655,"2018/2019"
"213",2019,"4","21/01/2019","27/01/2019",3059,"2018/2019"
"214",2019,"5","28/01/2019","03/02/2019",3623,"2018/2019"
"215",2019,"6","04/02/2019","10/02/2019",4034,"2018/2019"
"216",2019,"7","11/02/2019","17/02/2019",3923,"2018/2019"
"217",2019,"8","18/02/2019","24/02/2019",2771,"2018/2019"
"218",2019,"9","25/02/2019","03/03/2019",1719,"2018/2019"
"219",2019,"10","04/03/2019","10/03/2019",1205,"2018/2019"
"220",2019,"11","11/03/2019","17/03/2019",900,"2018/2019"
"221",2019,"12","18/03/2019","24/03/2019",909,"2018/2019"
"222",2019,"13","25/03/2019","31/03/2019",639,"2018/2019"
"223",2019,"14","01/04/2019","07/04/2019",621,"2018/2019"
"224",2019,"15","08/04/2019","14/04/2019",575,"2018/2019"
"225",2019,"16","15/04/2019","21/04/2019",416,"2018/2019"
"226",2019,"17","22/04/2019","28/04/2019",406,"2018/2019"
"227",2019,"18","29/04/2019","05/05/2019",244,"2018/2019"
"228",2019,"19","06/05/2019","12/05/2019",122,"2018/2019"
"229",2019,"20","13/05/2019","19/05/2019",137,"2018/2019"
"247",2019,"38","16/09/2019","22/09/2019",28,"2019/2020"
"248",2019,"39","23/09/2019","29/09/2019",25,"2019/2020"
"249",2019,"40","30/09/2019","06/10/2019",113,"2019/2020"
"250",2019,"41","07/10/2019","13/10/2019",143,"2019/2020"
"251",2019,"42","14/10/2019","20/10/2019",158,"2019/2020"
"252",2019,"43","21/10/2019","27/10/2019",228,"2019/2020"
"253",2019,"44","28/10/2019","03/11/2019",328,"2019/2020"
"254",2019,"45","04/11/2019","10/11/2019",298,"2019/2020"
"255",2019,"46","11/11/2019","17/11/2019",412,"2019/2020"
"256",2019,"47","18/11/2019","24/11/2019",1020,"2019/2020"
"257",2019,"48","25/11/2019","01/12/2019",1820,"2019/2020"
"258",2019,"49","02/12/2019","08/12/2019",1037,"2019/2020"
"259",2019,"50","09/12/2019","15/12/2019",1192,"2019/2020"
"260",2019,"51","16/12/2019","22/12/2019",1399,"2019/2020"
"261",2019,"52","23/12/2019","29/12/2019",1219,"2019/2020"
"262",2020,"1","30/12/2019","05/01/2020",3558,"2019/2020"
"263",2020,"2","06/01/2020","12/01/2020",2294,"2019/2020"
"264",2020,"3","13/01/2020","19/01/2020",1267,"2019/2020"
"265",2020,"4","20/01/2020","26/01/2020",836,"2019/2020"
"266",2020,"5","27/01/2020","02/02/2020",821,"2019/2020"
"267",2020,"6","03/02/2020","09/02/2020",739,"2019/2020"
"268",2020,"7","10/02/2020","16/02/2020",719,"2019/2020"
"269",2020,"8","17/02/2020","23/02/2020",707,"2019/2020"
"270",2020,"9","24/02/2020","01/03/2020",751,"2019/2020"
"271",2020,"10","02/03/2020","08/03/2020",805,"2019/2020"
"272",2020,"11","09/03/2020","15/03/2020",696,"2019/2020"
"273",2020,"12","16/03/2020","22/03/2020",502,"2019/2020"
"274",2020,"13","23/03/2020","29/03/2020",176,"2019/2020"
"275",2020,"14","30/03/2020","05/04/2020",85,"2019/2020"
"276",2020,"15","06/04/2020","12/04/2020",29,"2019/2020"
"277",2020,"16","13/04/2020","19/04/2020",8,"2019/2020"
"278",2020,"17","20/04/2020","26/04/2020",26,"2019/2020"
"279",2020,"18","27/04/2020","03/05/2020",3,"2019/2020"
"280",2020,"19","04/05/2020","10/05/2020",0,"2019/2020"
"281",2020,"20","11/05/2020","17/05/2020",1,"2019/2020"
"299",2020,"38","14/09/2020","20/09/2020",2,"2020/2021"
"300",2020,"39","21/09/2020","27/09/2020",1,"2020/2021"
"301",2020,"40","28/09/2020","04/10/2020",20,"2020/2021"
"302",2020,"41","05/10/2020","11/10/2020",17,"2020/2021"
"303",2020,"42","12/10/2020","18/10/2020",26,"2020/2021"
"304",2020,"43","19/10/2020","25/10/2020",29,"2020/2021"
"305",2020,"44","26/10/2020","01/11/2020",18,"2020/2021"
"306",2020,"45","02/11/2020","08/11/2020",17,"2020/2021"
"307",2020,"46","09/11/2020","15/11/2020",44,"2020/2021"
"308",2020,"47","16/11/2020","22/11/2020",36,"2020/2021"
"309",2020,"48","23/11/2020","29/11/2020",36,"2020/2021"
"310",2020,"49","30/11/2020","06/12/2020",47,"2020/2021"
"311",2020,"50","07/12/2020","13/12/2020",25,"2020/2021"
"312",2020,"51","14/12/2020","20/12/2020",25,"2020/2021"
"313",2020,"52","21/12/2020","27/12/2020",23,"2020/2021"
"314",2020,"53","28/12/2020","03/01/2021",15,"2020/2021"
"315",2021,"1","04/01/2021","10/01/2021",23,"2020/2021"
"316",2021,"2","11/01/2021","17/01/2021",12,"2020/2021"
"317",2021,"3","18/01/2021","24/01/2021",13,"2020/2021"
"318",2021,"4","25/01/2021","31/01/2021",12,"2020/2021"
"319",2021,"5","01/02/2021","07/02/2021",17,"2020/2021"
"320",2021,"6","08/02/2021","14/02/2021",15,"2020/2021"
"321",2021,"7","15/02/2021","21/02/2021",20,"2020/2021"
"322",2021,"8","22/02/2021","28/02/2021",6,"2020/2021"
"323",2021,"9","01/03/2021","07/03/2021",10,"2020/2021"
"324",2021,"10","08/03/2021","14/03/2021",7,"2020/2021"
"325",2021,"11","15/03/2021","21/03/2021",14,"2020/2021"
"326",2021,"12","22/03/2021","28/03/2021",2,"2020/2021"
"327",2021,"13","29/03/2021","04/04/2021",3,"2020/2021"
"328",2021,"14","05/04/2021","11/04/2021",8,"2020/2021"
"329",2021,"15","12/04/2021","18/04/2021",11,"2020/2021"
"330",2021,"16","19/04/2021","25/04/2021",16,"2020/2021"
"331",2021,"17","26/04/2021","02/05/2021",3,"2020/2021"
"332",2021,"18","03/05/2021","09/05/2021",7,"2020/2021"
